/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
1140.15	78.252	-434.8	-7.40	2074
1140.70	78.310	-430.2	-6.64	2075
1141.25	78.364	-421.8	-5.25	2076
1141.80	78.415	-424.0	-5.61	2077
1142.35	78.465	-427.1	-6.12	2078
1142.90	78.518	-427.2	-6.13	2079
1143.45	78.570	-422.4	-5.34	2080
1144.00	78.620	-424.4	-5.67	2081
1144.55	78.670	-423.1	-5.45	2082
1145.10	78.719	-419.9	-4.92	2083
1145.65	78.767	-421.0	-5.10	2084
1146.20	78.817	-428.4	-6.32	2085
1146.75	78.868	-422.9	-5.41	2086
1147.30	78.919	-424.3	-5.64	2087
1147.85	78.969	-424.5	-5.67	2088
1148.40	79.022	-433.5	-7.15	2089
1148.95	79.076	-420.6	-5.02	2090
1149.50	79.127	-426.9	-6.06	2091
1150.05	79.178	-421.3	-5.13	2092
1150.60	79.228	-428.2	-6.27	2093
1151.15	79.280	-417.1	-4.44	2094
1151.70	79.327	-419.8	-4.88	2095
1152.25	79.374	-419.1	-4.76	2096
1152.80	79.421	-424.1	-5.59	2097
1153.35	79.470	-420.3	-4.96	2098
1153.90	79.520	-428.4	-6.29	2099
1154.45	79.571	-418.8	-4.71	2100
1155.00	79.621	-426.6	-5.99	2101
1155.55	79.670	-416.1	-4.26	2102
1156.10	79.716	-414.9	-4.06	2103
1156.65	79.762	-424.1	-5.57	2104
1157.20	79.810	-421.4	-5.13	2105
1157.75	79.860	-423.3	-5.44	2106
1158.30	79.910	-425.3	-5.77	2107
1158.85	79.961	-423.4	-5.45	2108
1159.40	80.011	-419.8	-4.86	2109
1159.95	80.059	-420.2	-4.92	2110
1160.50	80.107	-420.1	-4.90	2111
1161.05	80.153	-413.4	-3.80	2112
1161.60	80.198	-426.5	-5.96	2113
1162.15	80.249	-418.4	-4.62	2114
1162.70	80.297	-423.1	-5.39	2115
1163.25	80.346	-416.9	-4.37	2116
1163.80	80.392	-420.2	-4.91	2117
1164.35	80.440	-422.3	-5.26	2118
1164.90	80.489	-420.8	-5.01	2119
1165.45	80.537	-421.0	-5.04	2120
1166.00	80.586	-419.9	-4.86	2121
1166.55	80.633	-417.0	-4.38	2122
1167.10	80.679	-418.7	-4.66	2123
1167.65	80.726	-421.6	-5.14	2124
1168.20	80.774	-417.7	-4.49	2125
1168.75	80.821	-418.9	-4.69	2126
1169.30	80.869	-423.9	-5.52	2127
1169.85	80.918	-419.2	-4.74	2128
1170.40	80.966	-423.8	-5.50	2129
1170.95	81.016	-422.5	-5.28	2130
1171.50	81.065	-419.1	-4.72	2131
1172.05	81.114	-423.8	-5.49	2132
1172.60	81.164	-424.6	-5.63	2133
1173.15	81.215	-421.1	-5.05	2134
1173.70	81.264	-418.7	-4.65	2135
1174.25	81.310	-414.2	-3.91	2136
1174.80	81.355	-416.9	-4.35	2137
1175.35	81.401	-422.4	-5.26	2138
1175.90	81.450	-422.1	-5.21	2139
1176.45	81.499	-417.0	-4.37	2140
1177.00	81.545	-417.0	-4.37	2141
1177.55	81.591	-417.0	-4.37	2142
1178.10	81.637	-419.6	-4.80	2143
1178.65	81.683	-406.6	-2.65	2144
1179.20	81.725	-415.6	-4.14	2145
1179.75	81.767	-411.0	-3.38	2146
1180.30	81.810	-416.0	-4.21	2147
1180.85	81.855	-415.2	-4.07	2148
1181.40	81.899	-414.3	-3.93	2149
1181.95	81.943	-421.0	-5.03	2150
1182.50	81.992	-416.3	-4.26	2151
1183.05	82.037	-418.3	-4.59	2152
1183.60	82.084	-413.0	-3.71	2153
1184.15	82.128	-419.2	-4.74	2154
1184.70	82.174	-413.8	-3.85	2155
1185.25	82.218	-414.2	-3.91	2156
1185.80	82.261	-408.5	-2.97	2157
1186.35	82.303	-409.4	-3.12	2158
1186.90	82.343	-412.5	-3.63	2159
1187.45	82.386	-408.4	-2.96	2160
1188.00	82.427	-412.2	-3.59	2161
1188.55	82.469	-413.9	-3.87	2162
1189.10	82.512	-408.9	-3.04	2163
1189.65	82.554	-417.1	-4.40	2164
1190.20	82.599	-412.2	-3.59	2165
1190.75	82.642	-402.6	-2.01	2166
1191.30	82.680	-413.4	-3.79	2167
1191.85	82.721	-412.1	-3.58	2168
1192.40	82.763	-407.2	-2.77	2169
1192.95	82.804	-411.5	-3.48	2170
1193.50	82.846	-413.1	-3.74	2171
1194.05	82.889	-413.0	-3.73	2172
1194.60	82.932	-409.4	-3.14	2173
1195.15	82.974	-414.3	-3.95	2174
1195.70	83.016	-405.5	-2.49	2175
1196.25	83.057	-411.7	-3.52	2176
1196.80	83.098	-405.4	-2.48	2177
1197.35	83.137	-406.4	-2.65	2178
1197.90	83.176	-407.1	-2.76	2179
1198.45	83.216	-407.5	-2.83	2180
1199.00	83.255	-405.3	-2.47	2181
1199.55	83.294	-404.3	-2.30	2182
1200.10	83.333	-412.6	-3.68	2183
1200.65	83.375	-411.0	-3.41	2184
1201.20	83.417	-411.9	-3.56	2185
1201.75	83.460	-414.8	-4.04	2186
1202.30	83.503	-407.5	-2.84	2187
1202.85	83.545	-415.1	-4.09	2188
1203.40	83.589	-412.3	-3.63	2189
1203.95	83.632	-410.7	-3.37	2190
1204.50	83.675	-412.8	-3.71	2191
1205.05	83.716	-405.8	-2.56	2192
1205.60	83.756	-405.5	-2.51	2193
1206.15	83.796	-418.7	-4.69	2194
1206.70	83.843	-410.8	-3.39	2195
1207.25	83.885	-414.1	-3.93	2196
1207.80	83.929	-411.1	-3.44	2197
1208.35	83.970	-404.9	-2.41	2198
1208.90	84.012	-415.0	-4.08	2199
1209.45	84.054	-410.6	-3.36	2200
1210.00	84.097	-415.5	-4.17	2201
1210.55	84.142	-410.1	-3.28	2202
1211.10	84.184	-419.9	-4.89	2203
1211.65	84.231	-413.3	-3.81	2204
1212.20	84.276	-416.0	-4.25	2205
1212.75	84.322	-417.2	-4.45	2206
1213.30	84.367	-411.2	-3.46	2207
1213.85	84.411	-411.9	-3.58	2208
1214.40	84.455	-416.3	-4.30	2209
1214.95	84.500	-413.5	-3.84	2210
1215.50	84.544	-414.9	-4.07	2211
1216.05	84.589	-412.0	-3.59	2212
1216.60	84.632	-410.2	-3.30	2213
1217.15	84.674	-413.7	-3.88	2214
1217.70	84.719	-416.4	-4.32	2215
1218.25	84.765	-420.5	-5.00	2216
1218.80	84.813	-415.9	-4.24	2217
1219.35	84.858	-409.9	-3.25	2218
1219.90	84.903	-422.6	-5.35	2219
1220.45	84.951	-418.2	-4.62	2220
1221.00	84.999	-416.4	-4.32	2221
1221.55	85.046	-418.3	-4.64	2222
1222.10	85.093	-419.7	-4.87	2223
1222.65	85.142	-416.0	-4.26	2224
1223.20	85.188	-406.2	-2.64	2225
1223.75	85.229	-419.5	-4.84	2226
1224.30	85.276	-418.5	-4.67	2227
1224.85	85.324	-417.4	-4.49	2228
1225.40	85.371	-418.3	-4.64	2229
1225.95	85.419	-421.9	-5.23	2230
1226.50	85.468	-414.4	-4.00	2231
1227.05	85.515	-420.8	-5.05	2232
1227.60	85.564	-420.3	-4.97	2233
1228.15	85.613	-420.4	-4.99	2234
1228.70	85.662	-417.4	-4.49	2235
1229.25	85.710	-419.0	-4.76	2236
1229.80	85.759	-423.1	-5.43	2237
1230.35	85.810	-422.5	-5.33	2238
1230.90	85.861	-422.1	-5.27	2239
1231.45	85.911	-422.0	-5.25	2240
1232.00	85.962	-417.9	-4.57	2241
1232.55	86.010	-419.1	-4.77	2242
1233.10	86.059	-420.6	-5.02	2243
1233.65	86.108	-416.8	-4.39	2244
1234.20	86.157	-425.7	-5.86	2245
1234.75	86.208	-421.9	-5.23	2246
1235.30	86.260	-422.3	-5.30	2247
1235.85	86.311	-422.5	-5.33	2248
1236.40	86.362	-420.4	-4.98	2249
1236.95	86.413	-425.4	-5.81	2250
1237.50	86.466	-424.6	-5.68	2251
1238.05	86.519	-426.5	-5.99	2252
1238.60	86.574	-428.1	-6.25	2253
1239.15	86.630	-428.5	-6.32	2254
1239.70	86.686	-419.0	-4.75	2255
1240.25	86.735	-427.1	-6.09	2256
1240.80	86.790	-425.3	-5.79	2257
1241.35	86.844	-427.0	-6.07	2258
1241.90	86.899	-422.5	-5.32	2259
1242.45	86.952	-429.8	-6.53	2260
1243.00	87.008	-424.6	-5.67	2261
1243.55	87.063	-430.3	-6.61	2262
1244.10	87.121	-433.7	-7.17	2263
1244.65	87.182	-436.3	-7.60	2264
1245.20	87.246	-435.9	-7.53	2265
1245.75	87.310	-430.1	-6.57	2266
1246.30	87.368	-423.6	-5.49	2267
1246.85	87.423	-430.6	-6.65	2268
1247.40	87.481	-432.7	-6.99	2269
1247.95	87.541	-429.5	-6.46	2270
1248.50	87.599	-431.8	-6.84	2271
1249.05	87.658	-424.1	-5.57	2272
1249.60	87.714	-435.4	-7.44	2273
1250.15	87.774	-425.8	-5.85	2274
1250.70	87.831	-432.6	-6.97	2275
1251.25	87.891	-429.9	-6.52	2276
1251.80	87.949	-427.0	-6.04	2277
1252.35	88.004	-425.5	-5.80	2278
1252.90	88.059	-425.2	-5.75	2279
1253.45	88.114	-430.3	-6.59	2280
1254.00	88.172	-429.9	-6.52	2281
1254.55	88.230	-426.4	-5.94	2282
1255.10	88.286	-432.1	-6.88	2283
1255.65	88.346	-425.6	-5.81	2284
1256.20	88.401	-429.3	-6.42	2285
1256.75	88.459	-432.9	-7.01	2286
1257.30	88.518	-424.9	-5.69	2287
1257.85	88.574	-427.7	-6.15	2288
1258.40	88.631	-428.4	-6.27	2289
1258.95	88.688	-424.9	-5.69	2290
1259.50	88.742	-422.3	-5.26	2291
1260.05	88.794	-424.4	-5.61	2292
1260.60	88.847	-421.3	-5.10	2293
1261.15	88.899	-423.9	-5.53	2294
1261.70	88.952	-421.3	-5.10	2295
1262.25	89.005	-429.4	-6.44	2296
1262.80	89.062	-428.5	-6.29	2297
1263.35	89.119	-424.6	-5.64	2298
1263.90	89.174	-427.3	-6.09	2299
1264.45	89.230	-427.7	-6.16	2300
1265.00	89.286	-418.7	-4.67	2301
1265.55	89.336	-420.0	-4.89	2302
1266.10	89.387	-421.4	-5.12	2303
1266.65	89.438	-419.7	-4.84	2304
1267.20	89.489	-421.0	-5.05	2305
1267.75	89.540	-422.2	-5.25	2306
1268.30	89.592	-428.1	-6.23	2307
1268.85	89.650	-427.4	-6.11	2308
1269.40	89.705	-419.2	-4.76	2309
1269.95	89.757	-421.7	-5.17	2310
1270.50	89.808	-422.0	-5.22	2311
1271.05	89.861	-423.8	-5.52	2312
1271.60	89.913	-418.8	-4.70	2313
1272.15	89.963	-413.9	-3.89	2314
1272.70	90.012	-420.7	-5.01	2315
1273.25	90.062	-423.0	-5.39	2316
1273.80	90.115	-423.4	-5.46	2317
1274.35	90.168	-423.0	-5.40	2318
1274.90	90.222	-423.4	-5.46	2319
1275.45	90.274	-414.4	-3.98	2320
1276.00	90.324	-428.9	-6.37	2321
1276.55	90.380	-425.8	-5.86	2322
1277.10	90.436	-422.5	-5.32	2323
1277.65	90.489	-420.0	-4.91	2324
1278.20	90.540	-431.3	-6.77	2325
1278.75	90.600	-430.2	-6.59	2326
1279.30	90.660	-428.9	-6.38	2327
1279.85	90.719	-427.9	-6.21	2328
1280.40	90.777	-426.1	-5.92	2329
1280.95	90.833	-424.4	-5.64	2330
1281.50	90.888	-419.8	-4.88	2331
1282.05	90.939	-421.5	-5.16	2332
1282.60	90.991	-424.6	-5.67	2333
1283.15	91.046	-424.8	-5.71	2334
1283.70	91.101	-421.5	-5.16	2335
1284.25	91.156	-430.2	-6.60	2336
1284.80	91.213	-425.1	-5.76	2337
1285.35	91.270	-428.6	-6.34	2338
1285.90	91.328	-425.8	-5.87	2339
1286.45	91.385	-425.5	-5.82	2340
1287.00	91.441	-431.0	-6.73	2341
1287.55	91.500	-415.8	-4.22	2342
1288.10	91.550	-420.2	-4.95	2343
1288.65	91.602	-424.1	-5.59	2344
1289.20	91.657	-426.8	-6.04	2345
1289.75	91.714	-427.7	-6.19	2346
1290.30	91.771	-422.1	-5.27	2347
1290.85	91.825	-424.6	-5.68	2348
1291.40	91.880	-424.2	-5.61	2349
1291.95	91.935	-419.9	-4.90	2350
1292.50	91.987	-422.3	-5.30	2351
1293.05	92.040	-422.6	-5.35	2352
1293.60	92.094	-422.5	-5.33	2353
1294.15	92.148	-425.1	-5.76	2354
1294.70	92.204	-425.6	-5.85	2355
1295.25	92.260	-424.3	-5.63	2356
1295.80	92.315	-422.1	-5.27	2357
1296.35	92.368	-415.2	-4.13	2358
1296.90	92.418	-421.6	-5.19	2359
1297.45	92.471	-424.3	-5.63	2360
1298.00	92.525	-419.7	-4.87	2361
1298.55	92.577	-421.0	-5.09	2362
1299.10	92.629	-415.7	-4.21	2363
1299.65	92.679	-425.9	-5.90	2364
1300.20	92.734	-418.6	-4.69	2365
1300.75	92.786	-419.9	-4.91	2366
1301.30	92.838	-419.7	-4.88	2367
1301.85	92.889	-419.2	-4.80	2368
1302.40	92.941	-422.7	-5.37	2369
1302.95	92.995	-426.8	-6.05	2370
1303.50	93.051	-418.0	-4.60	2371
1304.05	93.104	-422.4	-5.32	2372
1304.60	93.157	-421.4	-5.16	2373
1305.15	93.211	-424.0	-5.59	2374
1305.70	93.264	-416.7	-4.38	2375
1306.25	93.315	-415.8	-4.23	2376
1306.80	93.364	-417.8	-4.57	2377
1307.35	93.414	-417.2	-4.47	2378
1307.90	93.465	-419.1	-4.78	2379
1308.45	93.517	-426.0	-5.92	2380
1309.00	93.572	-420.7	-5.05	2381
1309.55	93.626	-419.7	-4.88	2382
1310.10	93.676	-411.5	-3.53	2383
1310.65	93.725	-423.7	-5.54	2384
1311.20	93.778	-418.8	-4.73	2385
1311.75	93.830	-417.0	-4.44	2386
1312.30	93.880	-419.1	-4.78	2387
1312.85	93.931	-419.5	-4.85	2388
1313.40	93.983	-418.4	-4.67	2389
1313.95	94.034	-416.4	-4.34	2390
1314.50	94.084	-416.7	-4.39	2391
1315.05	94.133	-415.2	-4.14	2392
1315.60	94.182	-415.7	-4.22	2393
1316.15	94.232	-424.1	-5.61	2394
1316.70	94.286	-414.3	-3.99	2395
1317.25	94.335	-418.0	-4.60	2396
1317.80	94.386	-422.9	-5.41	2397
1318.35	94.440	-415.8	-4.24	2398
1318.90	94.490	-420.0	-4.93	2399
1319.45	94.542	-420.1	-4.95	2400
1320.00	94.595	-420.7	-5.05	2401
1320.55	94.649	-427.2	-6.12	2402
1321.10	94.705	-418.5	-4.68	2403
1321.65	94.757	-414.0	-3.94	2404
1322.20	94.805	-406.7	-2.73	2405
1322.75	94.849	-408.4	-3.02	2406
1323.30	94.893	-415.4	-4.17	2407
1323.85	94.941	-410.8	-3.41	2408
1324.40	94.987	-412.1	-3.63	2409
1324.95	95.034	-416.9	-4.42	2410
1325.50	95.083	-415.2	-4.14	2411
1326.05	95.132	-415.0	-4.11	2412
1326.60	95.182	-419.3	-4.82	2413
1327.15	95.234	-422.7	-5.38	2414
1327.70	95.288	-420.0	-4.94	2415
1328.25	95.341	-420.6	-5.03	2416
1328.80	95.394	-422.4	-5.33	2417
1329.35	95.449	-420.3	-4.98	2418
1329.90	95.502	-419.9	-4.92	2419
1330.45	95.555	-422.6	-5.36	2420
1331.00	95.609	-417.6	-4.54	2421
1331.55	95.661	-420.5	-5.02	2422
1332.10	95.714	-422.0	-5.26	2423
1332.65	95.767	-415.7	-4.22	2424
1333.20	95.819	-420.2	-4.96	2425
1333.75	95.871	-422.2	-5.30	2426
1334.30	95.924	-409.7	-3.23	2427
1334.85	95.972	-419.1	-4.78	2428
1335.40	96.024	-425.6	-5.86	2429
1335.95	96.079	-415.2	-4.14	2430
1336.50	96.130	-419.2	-4.80	2431
1337.05	96.182	-416.3	-4.32	2432
1337.60	96.232	-412.7	-3.73	2433
1338.15	96.280	-418.0	-4.60	2434
1338.70	96.331	-421.8	-5.23	2435
1339.25	96.385	-419.6	-4.87	2436
1339.80	96.438	-412.5	-3.69	2437
1340.35	96.486	-425.5	-5.84	2438
1340.90	96.543	-421.3	-5.15	2439
1341.45	96.597	-418.8	-4.73	2440
1342.00	96.649	-413.3	-3.82	2441
1342.55	96.699	-423.2	-5.46	2442
1343.10	96.752	-416.1	-4.29	2443
1343.65	96.804	-419.2	-4.80	2444
1344.20	96.855	-415.8	-4.24	2445
1344.75	96.906	-418.7	-4.72	2446
1345.30	96.958	-418.6	-4.70	2447
1345.85	97.011	-424.7	-5.71	2448
1346.40	97.065	-411.7	-3.56	2449
1346.95	97.116	-421.1	-5.11	2450
1347.50	97.167	-415.7	-4.22	2451
1348.05	97.218	-416.3	-4.32	2452
1348.60	97.268	-415.7	-4.22	2453
1349.15	97.319	-416.6	-4.37	2454
1349.70	97.369	-415.4	-4.17	2455
1350.25	97.420	-420.7	-5.05	2456
1350.80	97.472	-419.4	-4.83	2457
1351.35	97.525	-413.4	-3.84	2458
1351.90	97.575	-423.2	-5.46	2459
1352.45	97.629	-418.8	-4.73	2460
1353.00	97.682	-419.6	-4.86	2461
1353.55	97.735	-410.8	-3.41	2462
1354.10	97.783	-415.6	-4.20	2463
1354.65	97.832	-419.2	-4.80	2464
1355.20	97.885	-421.2	-5.13	2465
1355.75	97.940	-420.6	-5.03	2466
1356.30	97.994	-419.1	-4.78	2467
1356.85	98.046	-413.3	-3.82	2468
1357.40	98.095	-417.2	-4.46	2469
1357.95	98.146	-415.4	-4.16	2470
1358.50	98.197	-423.1	-5.44	2471
1359.05	98.251	-412.5	-3.68	2472
1359.60	98.302	-422.6	-5.35	2473
1360.15	98.355	-418.2	-4.63	2474
1360.70	98.408	-418.0	-4.59	2475
1361.25	98.459	-412.8	-3.73	2476
1361.80	98.509	-418.3	-4.64	2477
1362.35	98.560	-412.5	-3.68	2478
1362.90	98.610	-419.4	-4.82	2479
1363.45	98.662	-422.5	-5.33	2480
1364.00	98.717	-421.4	-5.15	2481
1364.55	98.772	-417.7	-4.54	2482
1365.10	98.825	-422.3	-5.30	2483
1365.65	98.880	-417.3	-4.47	2484
1366.20	98.933	-424.5	-5.66	2485
1366.75	98.990	-416.4	-4.32	2486
1367.30	99.041	-418.7	-4.70	2487
1367.85	99.094	-418.5	-4.67	2488
1368.40	99.147	-425.8	-5.87	2489
1368.95	99.205	-424.1	-5.59	2490
1369.50	99.263	-421.5	-5.16	2491
1370.05	99.318	-418.8	-4.71	2492
1370.60	99.372	-422.2	-5.28	2493
1371.15	99.427	-420.9	-5.06	2494
1371.70	99.482	-418.7	-4.70	2495
1372.25	99.535	-415.7	-4.20	2496
1372.80	99.586	-421.8	-5.21	2497
1373.35	99.641	-415.7	-4.20	2498
1373.90	99.692	-415.5	-4.17	2499
1374.45	99.743	-418.0	-4.58	2500
1375.00	99.795	-417.7	-4.53	2501
1375.55	99.848	-424.2	-5.61	2502
1376.10	99.904	-416.3	-4.30	2503
1376.65	99.957	-420.7	-5.03	2504
1377.20	100.010	-416.4	-4.32	2505
1377.75	100.062	-414.9	-4.07	2506
1378.30	100.114	-419.8	-4.88	2507
1378.85	100.166	-416.5	-4.33	2508
1379.40	100.218	-413.8	-3.89	2509
1379.95	100.269	-419.0	-4.75	2510
1380.50	100.321	-417.4	-4.48	2511
1381.05	100.374	-419.1	-4.76	2512
1381.60	100.426	-413.2	-3.79	2513
1382.15	100.477	-418.5	-4.67	2514
1382.70	100.529	-414.6	-4.02	2515
1383.25	100.580	-420.5	-5.00	2516
1383.80	100.634	-417.9	-4.57	2517
1384.35	100.687	-417.2	-4.45	2518
1384.90	100.739	-416.3	-4.30	2519
1385.45	100.791	-416.2	-4.29	2520
1386.00	100.842	-414.0	-3.92	2521
1386.55	100.893	-421.3	-5.13	2522
1387.10	100.948	-420.0	-4.92	2523
1387.65	101.003	-421.5	-5.16	2524
1388.20	101.058	-419.9	-4.90	2525
1388.75	101.113	-415.9	-4.24	2526
1389.30	101.165	-416.7	-4.37	2527
1389.85	101.216	-413.2	-3.79	2528
1390.40	101.266	-411.7	-3.54	2529
1390.95	101.315	-414.7	-4.04	2530
1391.50	101.363	-407.1	-2.79	2531
1392.05	101.410	-411.1	-3.45	2532
1392.60	101.458	-417.5	-4.51	2533
1393.15	101.509	-413.7	-3.88	2534
1393.70	101.561	-419.5	-4.84	2535
1394.25	101.614	-417.3	-4.47	2536
1394.80	101.667	-418.6	-4.69	2537
1395.35	101.720	-415.0	-4.09	2538
1395.90	101.772	-418.3	-4.64	2539
1396.45	101.825	-416.5	-4.34	2540
1397.00	101.878	-416.5	-4.34	2541
1397.55	101.930	-416.0	-4.26	2542
1398.10	101.982	-420.6	-5.02	2543
1398.65	102.038	-418.0	-4.59	2544
1399.20	102.091	-416.9	-4.41	2545
1399.75	102.144	-415.9	-4.24	2546
1400.30	102.196	-419.9	-4.90	2547
1400.85	102.252	-427.6	-6.18	2548
1401.40	102.312	-418.9	-4.74	2549
1401.95	102.368	-419.5	-4.84	2550
1402.50	102.423	-421.3	-5.13	2551
1403.05	102.479	-419.7	-4.87	2552
1403.60	102.535	-419.1	-4.77	2553
1404.15	102.590	-423.2	-5.45	2554
1404.70	102.647	-416.4	-4.32	2555
1405.25	102.702	-423.6	-5.51	2556
1405.80	102.760	-424.0	-5.58	2557
1406.35	102.819	-423.8	-5.54	2558
1406.90	102.878	-422.0	-5.24	2559
1407.45	102.935	-419.3	-4.80	2560
1408.00	102.991	-426.3	-5.95	2561
1408.55	103.052	-425.0	-5.74	2562
1409.10	103.113	-427.9	-6.22	2563
1409.65	103.175	-422.3	-5.29	2564
1410.20	103.234	-432.5	-6.97	2565
1410.75	103.302	-431.1	-6.74	2566
1411.30	103.368	-428.2	-6.26	2567
1411.85	103.433	-434.8	-7.35	2568
1412.40	103.503	-432.6	-6.98	2569
1412.95	103.571	-429.4	-6.45	2570
1413.50	103.637	-434.5	-7.29	2571
1414.05	103.705	-425.7	-5.83	2572
1414.60	103.770	-432.1	-6.89	2573
1415.15	103.836	-424.9	-5.69	2574
1415.70	103.898	-428.3	-6.25	2575
1416.25	103.961	-425.1	-5.72	2576
1416.80	104.022	-424.8	-5.67	2577
1417.35	104.083	-431.5	-6.78	2578
1417.90	104.150	-427.8	-6.16	2579
1418.45	104.212	-418.2	-4.57	2580
1419.00	104.270	-424.7	-5.64	2581
1419.55	104.330	-426.5	-5.94	2582
1420.10	104.392	-423.7	-5.48	2583
1420.65	104.453	-423.7	-5.47	2584
1421.20	104.512	-422.6	-5.29	2585
1421.75	104.572	-425.4	-5.75	2586
1422.30	104.633	-422.4	-5.25	2587
1422.85	104.692	-418.4	-4.59	2588
1423.40	104.748	-420.3	-4.90	2589
1423.95	104.804	-420.2	-4.88	2590
1424.50	104.861	-418.7	-4.64	2591
1425.05	104.918	-421.8	-5.15	2592
1425.60	104.975	-420.8	-4.98	2593
1426.15	105.033	-415.0	-4.02	2594
1426.70	105.086	-420.0	-4.85	2595
1427.25	105.143	-423.9	-5.49	2596
1427.80	105.204	-424.6	-5.60	2597
1428.35	105.264	-420.2	-4.87	2598
1428.90	105.322	-419.7	-4.79	2599
1429.45	105.379	-422.1	-5.18	2600
1430.00	105.438	-420.3	-4.89	2601
1430.55	105.495	-418.8	-4.64	2602
1431.10	105.552	-419.5	-4.75	2603
1431.65	105.608	-420.4	-4.90	2604
1432.20	105.666	-422.0	-5.16	2605
1432.75	105.725	-422.6	-5.26	2606
1433.30	105.785	-421.8	-5.13	2607
1433.85	105.844	-422.7	-5.27	2608
1434.40	105.902	-412.2	-3.54	2609
1434.95	105.956	-417.9	-4.48	2610
1435.50	106.011	-420.0	-4.82	2611
1436.05	106.067	-415.7	-4.11	2612
1436.60	106.122	-418.1	-4.51	2613
1437.15	106.178	-418.7	-4.60	2614
1437.70	106.234	-414.7	-3.94	2615
1438.25	106.287	-414.7	-3.94	2616
1438.80	106.340	-416.0	-4.16	2617
1439.35	106.394	-413.1	-3.68	2618
1439.90	106.447	-414.7	-3.94	2619
1440.45	106.499	-411.0	-3.33	2620
1441.00	106.550	-412.6	-3.59	2621
1441.55	106.601	-409.1	-3.01	2622
1442.10	106.651	-413.4	-3.72	2623
1442.65	106.704	-416.0	-4.15	2624
1443.20	106.759	-422.2	-5.17	2625
1443.75	106.818	-420.1	-4.83	2626
1444.30	106.876	-418.9	-4.63	2627
1444.85	106.933	-415.3	-4.03	2628
